Path,Category,FieldID,Field,Participants,Items,Stability,ValueType,Units,ItemType,Strata,Sexed,Instances,Array,Coding,Notes,Link
UK Biobank Assessment Centre > Touchscreen > Sociodemographics > Employment,100064,816,Job involves heavy manual or physical work,288414,314655,Complete,Categorical single,"",Data,Primary,Unisex,4,1,100301,"ACE touchscreen question ""Does your work involve heavy manual or physical work?"" If the participant activated the Help button they were shown the message:     If you have more than one 'current job' then answer this question for your MAIN job only. Physical work includes work that involves handling of heavy objects and use of heavy tools.      ~F816~ was collected from participants who indicated they were in paid employment or self-employed as defined by their answers to ~F6142~",http://biobank.ctsu.ox.ac.uk/showcase/field.cgi?id=816
UK Biobank Assessment Centre > Touchscreen > Sociodemographics > Employment,100064,826,Job involves shift work,288414,314655,Complete,Categorical single,"",Data,Primary,Unisex,4,1,100301,"ACE touchscreen question ""Does your work involve shift work?"" If the participant activated the Help button they were shown the message:     If you have more than one 'current job' then answer this question for your MAIN job only. Shift work is a work schedule that falls outside of the normal daytime working hours of 9am-5pm.  This may involve working afternoons, evenings or nights or rotating through these kinds of shifts.      ~F826~ was collected from participants who indicated they were in paid employment or self-employed as defined by their answers to ~F6142~",http://biobank.ctsu.ox.ac.uk/showcase/field.cgi?id=826
UK Biobank Assessment Centre > Touchscreen > Sociodemographics > Education,100063,845,Age completed full time education,337413,354358,Complete,Integer,years,Data,Primary,Unisex,3,1,100306,"ACE touchscreen question ""At what age did you complete your continuous full time education?"" The following checks were performed:  If answer   If answer > Participants age then rejected  If answer > 40 then participant asked to confirm   If the participant activated the Help button they were shown the message:     Please give the age that you completed 'continuous' full time education. For example, if you stopped your studies when you were 17 years old with the intention that you had completed your studies but then returned to full time studies when you were 24, enter 17. However if you only temporarily stopped your studies at 17 with the intention that you would return to studies (for instance a gap year) and then completed your full time education at 21, enter 21.      ~F845~ was collected from all participants except those who indicated they have a College or University degree, as defined by their answers to ~F6138~",http://biobank.ctsu.ox.ac.uk/showcase/field.cgi?id=845
UK Biobank Assessment Centre > Touchscreen > Lifestyle and environment > Physical activity,100054,864,Number of days/week walked 10+ minutes,501649,572275,Complete,Integer,days/week,Data,Primary,Unisex,4,1,100307,"ACE touchscreen question ""In a typical WEEK, on how many days did you walk for at least 10 minutes at a time? (Include walking that you do at work, travelling to and from work, and for sport or leisure)"" The following checks were performed:  If answer   If answer > 7 then rejected   If the participant activated the Help button they were shown the message:     Count the number of days in a week that you walk for at least 10 minutes continuously at a time.     ",http://biobank.ctsu.ox.ac.uk/showcase/field.cgi?id=864
UK Biobank Assessment Centre > Touchscreen > Lifestyle and environment > Physical activity,100054,874,Duration of walks,480084,547065,Complete,Integer,minutes/day,Data,Primary,Unisex,4,1,100291,"ACE touchscreen question ""How many minutes did you usually spend walking on a typical DAY?"" The following checks were performed:  If answer   If answer > 1440 then rejected  If answer   If answer > 300 then participant asked to confirm   If the participant activated the Help button they were shown the message:     Count the number of minutes that you usually spend walking in one day. If the time you usually spend walking on each day of the week varies a lot, give an average of the time you spend walking. For instance if on one day of the week you usually walk for 4 hours but on the other day you walk 2 hours then give the average - that is 3 hours.      ~F874~ was collected from participants who indicated that they walked for 10 minutes on at least 1 day per week in the previous 4 weeks, as defined by their answers to ~F864~",http://biobank.ctsu.ox.ac.uk/showcase/field.cgi?id=874
UK Biobank Assessment Centre > Touchscreen > Lifestyle and environment > Physical activity,100054,884,Number of days/week of moderate physical activity 10+ minutes,501645,572271,Complete,Integer,days/week,Data,Primary,Unisex,4,1,100291,"ACE touchscreen question ""In a typical WEEK, on how many days did you do 10 minutes or more of moderate physical activities like carrying light loads, cycling at normal pace?  (Do not include walking)"" The following checks were performed:  If answer   If answer > 7 then rejected   If the participant activated the Help button they were shown the message:     Count the number of days in a week that you do moderate physical activities for at least 10 minutes continuously at a time. Remember to include activities that you do for work, leisure, travel and around the house.     ",http://biobank.ctsu.ox.ac.uk/showcase/field.cgi?id=884
UK Biobank Assessment Centre > Touchscreen > Lifestyle and environment > Physical activity,100054,894,Duration of moderate activity,418013,474174,Complete,Integer,minutes/day,Data,Primary,Unisex,4,1,100291,"ACE touchscreen question ""How many minutes did you usually spend doing moderate activities on a typical DAY?"" The following checks were performed:  If answer   If answer > 1440 then rejected  If answer   If answer > 300 then participant asked to confirm   If the participant activated the Help button they were shown the message:     If the time you usually spend doing moderate physical activity on each day of the week varies a lot, give an average of the time you spend doing moderate physical activity.      ~F894~ was collected from participants who indicated that they did moderate physical activities for 10 minutes on at least 1 day per week in the previous 4 weeks, as defined by their answers to question ~F884~",http://biobank.ctsu.ox.ac.uk/showcase/field.cgi?id=894
UK Biobank Assessment Centre > Touchscreen > Lifestyle and environment > Physical activity,100054,904,Number of days/week of vigorous physical activity 10+ minutes,501645,572271,Complete,Integer,days/week,Data,Primary,Unisex,4,1,100291,"ACE touchscreen question ""In a typical WEEK, how many days did you do 10 minutes or more of vigorous physical activity? (These are activities that make you sweat or breathe hard such as fast cycling, aerobics, heavy lifting)"" The following checks were performed:  If answer   If answer > 7 then rejected   If the participant activated the Help button they were shown the message:     Count the number of days in a week that you do vigorous physical activities for at least 10 minutes continuously at a time. Remember to include activities that you do for work, leisure, travel and around the house.     ",http://biobank.ctsu.ox.ac.uk/showcase/field.cgi?id=904
UK Biobank Assessment Centre > Touchscreen > Lifestyle and environment > Physical activity,100054,914,Duration of vigorous activity,304461,341973,Complete,Integer,minutes/day,Data,Primary,Unisex,4,1,100291,"ACE touchscreen question ""How many minutes did you usually spend doing vigorous activities on a typical DAY?"" The following checks were performed:  If answer   If answer > 1440 then rejected  If answer   If answer > 300 then participant asked to confirm   If the participant activated the Help button they were shown the message:     If the time you usually spend doing vigorous physical activity on each day of the week varies a lot, give an average of the time you spend doing vigorous physical activity.      This information was collected from participants who indicated that they did vigorous physical activities for 10 minutes on at least 1 day per week in the previous 4 weeks, as defined by their answers to ~F904~",http://biobank.ctsu.ox.ac.uk/showcase/field.cgi?id=914
UK Biobank Assessment Centre > Touchscreen > Lifestyle and environment > Physical activity,100054,924,Usual walking pace,499753,570241,Complete,Categorical single,"",Data,Primary,Unisex,4,1,100313,"ACE touchscreen question ""How would you describe your usual walking pace? "" If the participant activated the Help button they were shown the message:     Slow pace is defined as less than 3 miles per hour. Steady average pace is defined as between 3-4 miles per hour. Fast pace is defined as more than 4 miles per hour.      ~F924~ was collected from all participants except those who indicated they were unable to walk, as defined by their answers to ~F864~",http://biobank.ctsu.ox.ac.uk/showcase/field.cgi?id=924
UK Biobank Assessment Centre > Touchscreen > Lifestyle and environment > Physical activity,100054,943,Frequency of stair climbing in last 4 weeks,496882,566490,Complete,Categorical single,"",Data,Primary,Unisex,4,1,100314,"ACE touchscreen question ""At home, during the last 4 weeks, about how many times a DAY do you climb a flight of stairs? (approx 10 steps)"" If the participant activated the Help button they were shown the message:     If you are unsure, please provide an estimate or select Do not know.      ~F943~ was collected from all participants except those who indicated they were unable to walk, as defined by their answers to ~F864~",http://biobank.ctsu.ox.ac.uk/showcase/field.cgi?id=943
UK Biobank Assessment Centre > Touchscreen > Lifestyle and environment > Physical activity,100054,971,Frequency of walking for pleasure in last 4 weeks,359685,406732,Complete,Categorical single,"",Data,Primary,Unisex,4,1,100317,"ACE touchscreen question ""How many times in the last 4 weeks did you go walking for pleasure?"" If the participant activated the Help button they were shown the message:     If you are unsure, please provide an estimate or select Do not know.      ~F971~ was collected from participants who indicated that they spent time walking for pleasure in the previous 4 weeks, as defined by their answers to ~F6164~",http://biobank.ctsu.ox.ac.uk/showcase/field.cgi?id=971
UK Biobank Assessment Centre > Touchscreen > Lifestyle and environment > Physical activity,100054,981,Duration walking for pleasure,359685,406732,Complete,Categorical single,"",Data,Primary,Unisex,4,1,100318,"ACE touchscreen question ""Each time you went walking for pleasure, about how long did you spend doing it?"" If the participant activated the Help button they were shown the message:     If you are unsure, please provide an estimate or select Do not know.      ~F981~ was collected from all participants who indicated that they spent time walking for pleasure in the previous 4 weeks, as defined by their answers to ~F6164~",http://biobank.ctsu.ox.ac.uk/showcase/field.cgi?id=981
